what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.birt.report.designer.ui.preview.web,3.7.2.v20120213,"org.eclipse.birt.report.designer.ui.preview.web",1379527614313
stopped,bundle,org.eclipse.birt.report.viewer,3.7.2.v20120213,"org.eclipse.birt.report.viewer",1379527614314
stopped,bundle,org.eclipse.jpt.dbws.eclipselink.ui,1.0.0.v201104110000,"org.eclipse.jpt.dbws.eclipselink.ui",1379527614315
stopped,bundle,org.eclipse.datatools.enablement.hsqldb.ui,1.0.0.v201108120600,"org.eclipse.datatools.enablement.hsqldb.ui",1379527614316
stopped,bundle,org.eclipse.datatools.enablement.ingres.ui,1.0.0.v201105270214,"org.eclipse.datatools.enablement.ingres.ui",1379527614317
stopped,bundle,org.eclipse.datatools.enablement.postgresql.ui,1.0.0.v201107221506,"org.eclipse.datatools.enablement.postgresql.ui",1379527614318
stopped,bundle,org.eclipse.datatools.enablement.sqlite.ui,1.0.0.v201107221507,"org.eclipse.datatools.enablement.sqlite.ui",1379527614319
stopped,bundle,org.eclipse.jpt.jpa.eclipselink.ui,2.0.1.v201108080010,"org.eclipse.jpt.jpa.eclipselink.ui",1379527614320
stopped,bundle,org.jboss.tools.hibernate.jpt.ui,3.4.0.v20120307-2104-H60-Beta1,"org.jboss.tools.hibernate.jpt.ui",1379527614322
stopped,bundle,org.eclipse.jpt.jpa.ui,3.0.2.v201201243020,"org.eclipse.jpt.jpa.ui",1379527614324
stopped,bundle,org.jboss.tools.cdi.seam.config.ui,1.2.0.v20120302-0255-H54-Beta1,"org.jboss.tools.cdi.seam.config.ui",1379527614325
stopped,bundle,org.jboss.tools.cdi.seam.text.ext,1.2.0.v20120302-0255-H54-Beta1,"org.jboss.tools.cdi.seam.text.ext",1379527614326
stopped,bundle,org.jboss.tools.cdi.text.ext,1.2.0.v20120302-0255-H54-Beta1,"org.jboss.tools.cdi.text.ext",1379527614327
stopped,bundle,org.jboss.tools.cdi.xml.ui,1.2.0.v20120302-0255-H54-Beta1,"org.jboss.tools.cdi.xml.ui",1379527614328
stopped,bundle,org.jboss.tools.cdi.ui,1.2.0.v20120302-0255-H54-Beta1,"org.jboss.tools.cdi.ui",1379527614330
stopped,bundle,org.jboss.tools.jsf.ui,3.3.0.v20120302-0331-H69-Beta1,"org.jboss.tools.jsf.ui",1379527614332
stopped,bundle,org.jboss.tools.jsf.vpe.ajax4jsf,3.3.0.v20120302-0331-H69-Beta1,"org.jboss.tools.jsf.vpe.ajax4jsf",1379527614333
stopped,bundle,org.jboss.tools.jsf.vpe.richfaces,3.3.0.v20120302-0331-H69-Beta1,"org.jboss.tools.jsf.vpe.richfaces",1379527614335
stopped,bundle,org.jboss.tools.jsf.vpe.facelets,3.3.0.v20120302-0331-H69-Beta1,"org.jboss.tools.jsf.vpe.facelets",1379527614336
stopped,bundle,org.jboss.tools.jsf.vpe.jbpm,3.3.0.v20120302-0331-H69-Beta1,"org.jboss.tools.jsf.vpe.jbpm",1379527614337
stopped,bundle,org.jboss.tools.jsf.vpe.jstl,3.3.0.v20120302-0331-H69-Beta1,"org.jboss.tools.jsf.vpe.jstl",1379527614338
stopped,bundle,org.jboss.tools.jsf.vpe.seam,3.3.0.v20120302-0331-H69-Beta1,"org.jboss.tools.jsf.vpe.seam",1379527614340
stopped,bundle,org.jboss.tools.jsf.vpe.jsf,3.3.0.v20120302-0331-H69-Beta1,"org.jboss.tools.jsf.vpe.jsf",1379527614340
stopped,bundle,org.jboss.tools.jsf.vpe.myfaces,3.3.0.v20120302-0331-H69-Beta1,"org.jboss.tools.jsf.vpe.myfaces",1379527614342
stopped,bundle,org.jboss.tools.struts.vpe.struts,3.3.0.v20120302-0304-H64-Beta1,"org.jboss.tools.struts.vpe.struts",1379527614343
stopped,bundle,org.jboss.tools.vpe.docbook,3.3.0.v20120302-0244-H56-Beta1,"org.jboss.tools.vpe.docbook",1379527614346
stopped,bundle,org.jboss.tools.vpe.html,3.3.0.v20120302-0244-H56-Beta1,"org.jboss.tools.vpe.html",1379527614349
stopped,bundle,org.jboss.tools.vpe.jsp,3.3.0.v20120302-0244-H56-Beta1,"org.jboss.tools.vpe.jsp",1379527614350
stopped,bundle,org.jboss.tools.vpe.spring,3.3.0.v20120302-0244-H56-Beta1,"org.jboss.tools.vpe.spring",1379527614352
stopped,bundle,org.jboss.tools.vpe,3.3.0.v20120302-0244-H56-Beta1,"org.jboss.tools.vpe",1379527614354
stopped,bundle,org.jboss.tools.jst.css,3.3.0.v20120302-0221-H55-Beta1,"org.jboss.tools.jst.css",1379527614356
stopped,bundle,org.jboss.tools.jst.web.tiles.ui,3.3.0.v20120302-0221-H55-Beta1,"org.jboss.tools.jst.web.tiles.ui",1379527614358
stopped,bundle,org.jboss.tools.maven.seam,1.3.0.v20120327-1922-H83-Beta2,"org.jboss.tools.maven.seam",1379527614358
stopped,bundle,org.jboss.tools.seam.ui,3.3.0.v20120302-2019-H81-Beta1,"org.jboss.tools.seam.ui",1379527614359
stopped,bundle,org.jboss.tools.seam.ui.pages,3.3.0.v20120302-2019-H81-Beta1,"org.jboss.tools.seam.ui.pages",1379527614361
stopped,bundle,org.jboss.tools.seam.xml.ui,3.3.0.v20120302-2019-H81-Beta1,"org.jboss.tools.seam.xml.ui",1379527614361
stopped,bundle,org.jboss.tools.struts.validator.ui,3.3.0.v20120302-0304-H64-Beta1,"org.jboss.tools.struts.validator.ui",1379527614363
stopped,bundle,org.jboss.tools.struts.ui,3.3.0.v20120302-0304-H64-Beta1,"org.jboss.tools.struts.ui",1379527614363
stopped,bundle,org.jboss.tools.jst.web.ui,3.3.0.v20120302-0221-H55-Beta1,"org.jboss.tools.jst.web.ui",1379527614364
stopped,bundle,org.teiid.designer.dqp.ui,7.6.0.v20111215-2105-H67-M5,"org.teiid.designer.dqp.ui",1379527614366
stopped,bundle,org.teiid.designer.jdbc.ui,7.6.0.v20111215-2105-H67-M5,"org.teiid.designer.jdbc.ui",1379527614367
stopped,bundle,org.eclipse.datatools.connectivity.db.generic.ui,1.0.1.v201107221459,"org.eclipse.datatools.connectivity.db.generic.ui",1379527614369
stopped,bundle,org.eclipse.birt.report.data.oda.jdbc.dbprofile.sampledb.ui,3.7.2.v20120213,"org.eclipse.birt.report.data.oda.jdbc.dbprofile.sampledb.ui",1379527614370
stopped,bundle,org.eclipse.datatools.connectivity.apache.derby.ui,1.0.3.v201107221459,"org.eclipse.datatools.connectivity.apache.derby.ui",1379527614371
stopped,bundle,org.eclipse.datatools.enablement.sybase.asa.schemaobjecteditor.examples,2.5.0.200810071,"org.eclipse.datatools.enablement.sybase.asa.schemaobjecteditor.examples",1379527614372
stopped,bundle,org.eclipse.datatools.enablement.sybase.asa.ui,1.0.1.v200906111204,"org.eclipse.datatools.enablement.sybase.asa.ui",1379527614373
stopped,bundle,org.eclipse.datatools.enablement.sybase.ase.ui,1.0.1.v200906020900,"org.eclipse.datatools.enablement.sybase.ase.ui",1379527614375
stopped,bundle,org.eclipse.datatools.enablement.sybase.ui,1.0.0.v200906090452,"org.eclipse.datatools.enablement.sybase.ui",1379527614376
stopped,bundle,org.eclipse.datatools.sqltools.data.ui,1.2.1.v201010270945,"org.eclipse.datatools.sqltools.data.ui",1379527614377
stopped,bundle,org.teiid.designer.webservice.ui,7.6.0.v20111215-2105-H67-M5,"org.teiid.designer.webservice.ui",1379527614378
stopped,bundle,org.teiid.designer.xml.ui,7.6.0.v20111215-2105-H67-M5,"org.teiid.designer.xml.ui",1379527614381
stopped,bundle,org.teiid.designer.mapping.ui,7.6.0.v20111215-2105-H67-M5,"org.teiid.designer.mapping.ui",1379527614381
stopped,bundle,org.teiid.designer.modelgenerator.wsdl.ui,7.6.0.v20111215-2105-H67-M5,"org.teiid.designer.modelgenerator.wsdl.ui",1379527614382
stopped,bundle,org.teiid.designer.modelgenerator.wsdl,7.6.0.v20111215-2105-H67-M5,"org.teiid.designer.modelgenerator.wsdl",1379527614383
stopped,bundle,org.teiid.designer.modelgenerator.xml,7.6.0.v20111215-2105-H67-M5,"org.teiid.designer.modelgenerator.xml",1379527614384
stopped,bundle,org.teiid.designer.relationship.ui,7.6.0.v20111215-2105-H67-M5,"org.teiid.designer.relationship.ui",1379527614384
stopped,bundle,org.teiid.designer.transformation.ui,7.6.0.v20111215-2105-H67-M5,"org.teiid.designer.transformation.ui",1379527614384
stopped,bundle,org.teiid.datatools.connectivity.ui,7.6.0.v20111215-2105-H67-M5,"org.teiid.datatools.connectivity.ui",1379527614385
stopped,bundle,org.teiid.datatools.connectivity,7.6.0.v20111215-2105-H67-M5,"org.teiid.datatools.connectivity",1379527614386
stopped,bundle,org.eclipse.datatools.connectivity.sqm.server.ui,1.1.100.v201107221459,"org.eclipse.datatools.connectivity.sqm.server.ui",1379527614386
stopped,bundle,org.eclipse.datatools.sqltools.ddlgen.ui,1.0.2.v201201131129,"org.eclipse.datatools.sqltools.ddlgen.ui",1379527614387
stopped,bundle,org.eclipse.datatools.sqltools.db.derby.ui,1.0.0.v200906020900,"org.eclipse.datatools.sqltools.db.derby.ui",1379527614387
